25 20
#############
#...........#    ########
#...s...s...######....h.#
#....a..................#
#...........######...g..#
#.l...s.....#    #......#
#...........#    #.g....#
#.t.......x.#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#         ###..###
  ###..####      #.b....#
  #..@....#      #...k..#
  #.......#      #......#
  #.......#      #....b.#
  #....W..#      #......#
  #.......#      #..b...#
  #.......#      #......#
  #########      ####d###

