94 37
#############
#...........#####################
#.@.........#....................################
#..........##..#################................#
#..............#######..........####............##
#.......................#######.#####............#
#................########...........#............#
#.........###......####.............#............###########
#...........#####.....#.............#......................#
#...........####......#........######......................###################################
#.....#############..##################....................#.................................#
###...#           #...................#################....................##................d
  ##..#           #..########.........#               #.....................##...............#
   ##..#          ##..##..............###             #......................#####..##########
  ###..#########    #.b....##............###          #......................#.......#
  #............########...k..#.............#          ###################............#
  #..........###......#......###############                            #............#
  #..........##......#....b.#                                           #...........##
  #....W....##....#####.######                                          ##############
  #.........#.....#......#
  #.............#......##
  ###########...#############
    #.......................###############
    ######.................####...........#######
    ###########.................................#
    #..............#########....................#
    #..........#####       #.......##############
    #............#         #...........#
    #..........###         ########....#####
    #.........##                 #......#..##
    #........####                #..........##
    #######..###                 #...........###
    #...........########         #.............##
    #..................#         #..............##
    #.................##         #...............######
    #.................#          #.....................##
    ###################          ########################












